test_case,prefill_lengths,batch_size,total_tokens,equivalent_length,actual_time_ms,estimated_time_ms,error_percent,abs_error_percent,test_type
1,"[3559, 3559, 3559]",3,10677,6164,4.872,6.2817,28.93472906403941,28.93472906403941,mixed_batch
2,"[1551, 1551]",2,3102,2193,1.5075333333333334,1.9048399999999996,26.35475169150486,26.35475169150486,mixed_batch
3,"[1052, 1052, 1052, 1052, 1052, 1052, 1052]",7,7364,2783,1.4461333333333335,2.8613600000000003,97.86280656463212,97.86280656463212,mixed_batch
4,"[4852, 4852]",2,9704,6861,6.000666666666667,7.141860000000001,19.01777580268861,19.01777580268861,mixed_batch
5,"[1025, 1025]",2,2050,1449,0.9669333333333332,1.23068,27.276613348041938,27.276613348041938,mixed_batch
6,"[1562, 1562, 1562, 1562, 1562, 1562]",6,9372,3826,2.214033333333333,3.5394000000000005,59.86209180831368,59.86209180831368,mixed_batch
7,[925],1,925,925,0.76604,0.76604,0.0,0.0,single_prefill
8,"[502, 502, 502, 502, 502, 502]",6,3012,1229,0.5601666666666667,1.1732999999999998,109.45551919071698,109.45551919071698,mixed_batch
9,"[546, 546]",2,1092,772,0.5770666666666667,0.7346999999999999,27.316312384473168,27.316312384473168,mixed_batch
10,"[3488, 3488]",2,6976,4932,4.143233333333333,4.780060000000001,15.370282468603454,15.370282468603454,mixed_batch
11,"[1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030, 1030]",10,10300,3257,1.6972666666666665,2.95864,74.31792293491498,74.31792293491498,mixed_batch
12,"[1822, 1822, 1822, 1822, 1822, 1822]",6,10932,4462,2.7750000000000004,4.22644,52.304144144144125,52.304144144144125,mixed_batch
13,"[1220, 1220, 1220, 1220, 1220, 1220]",6,7320,2988,1.598266666666667,2.68894,68.24101109535327,68.24101109535327,mixed_batch
14,"[855, 855, 855]",3,2565,1480,0.8521666666666666,1.4614,71.49227459417173,71.49227459417173,mixed_batch
15,"[2503, 2503, 2503]",3,7509,4335,3.5218000000000003,4.109019999999999,16.673859957976003,16.673859957976003,mixed_batch
16,"[1267, 1267, 1267, 1267]",4,5068,2534,1.4132000000000002,2.22348,57.33654118313045,57.33654118313045,mixed_batch
17,[10179],1,10179,10179,11.89594,11.89594,0.0,0.0,single_prefill
18,"[2536, 2536, 2536, 2536]",4,10144,5072,3.3801666666666668,4.93544,46.011735121542316,46.011735121542316,mixed_batch
19,[520],1,520,520,0.40684,0.40684,0.0,0.0,single_prefill
20,"[3170, 3170, 3170]",3,9510,5490,4.0208,5.41528,34.68165539196179,34.68165539196179,mixed_batch
21,"[2449, 2449, 2449, 2449]",4,9796,4898,3.3001333333333336,4.7569,44.14266090258978,44.14266090258978,mixed_batch
22,"[3212, 3212]",2,6424,4542,3.550533333333333,4.3247599999999995,21.80592587029178,21.80592587029178,mixed_batch
23,"[263, 263, 263, 263, 263]",5,1315,588,0.29250000000000004,0.47117999999999993,61.08717948717944,61.08717948717944,mixed_batch
24,"[1803, 1803, 1803, 1803, 1803]",5,9015,4031,2.4642333333333335,3.7565999999999997,52.44497950681075,52.44497950681075,mixed_batch
25,"[419, 419, 419, 419]",4,1676,838,0.4321666666666667,0.68826,59.258002313922084,59.258002313922084,mixed_batch
26,[10866],1,10866,10866,12.930940000000001,12.930940000000001,0.0,0.0,single_prefill
27,"[1264, 1264]",2,2528,1787,1.1768333333333334,1.52438,29.532360855402917,29.532360855402917,mixed_batch
28,"[1161, 1161, 1161, 1161, 1161, 1161]",6,6966,2843,1.5424333333333333,2.78924,80.83374754176302,80.83374754176302,mixed_batch
